schema_version,trace_version,trace_sha256,rpc_method_model,deadline_model,offered_load_definition,warmup_requests,measurement_requests,measured_generated_work_us,experiment_duration_us,latency_sample_count,scenario,workload,method,rho,seed,check_period_us,scan_depth,epsilon_us,budget_per_check,k_candidates,h_targets,migration_cost_us,service_estimate_mode,service_estimate_noise_cv,service_estimate_ewma_alpha,w2_hot_core_count,w2_hot_dispatch_prob,placement_mode,flow_count,flow_zipf_alpha,flow_hash_seed,target_insert_policy,hybrid_pressure_ratio,hybrid_min_gain_us,work_steal_poll_us,work_steal_max_per_poll,alto_queue_threshold_us,alto_min_gain_us,control_cost_mode,control_check_cost_us,control_queue_entry_cost_us,control_candidate_cost_us,control_target_cost_us,control_estimator_update_cost_us,control_poll_cost_us,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,steal_poll_count,steal_idle_core_check_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,rescue_queue_entries_inspected_count,rescue_accepted_candidate_count,rescue_target_evaluation_count,rescue_source_revalidation_reject_count,rescue_remote_revalidation_reject_count,migration_handoff_count,avg_migration_handoff_us,max_migration_handoff_us,max_rescue_commits_per_check,max_target_reservation_work_us,descriptor_handoff_count,avg_descriptor_handoff_us,max_descriptor_handoff_us,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,rescue_short_move_count,rescue_long_move_count,rescue_burst_move_count,rescue_nonburst_move_count,avg_rescue_source_work_at_commit_us,avg_rescue_destination_work_at_commit_us,rescue_migrated_finished,rescue_migrated_slo_violation_rate,rescue_migrated_P99_us,rescue_migrated_P999_us,rescue_nonmigrated_finished,rescue_nonmigrated_slo_violation_rate,rescue_nonmigrated_P99_us,rescue_nonmigrated_P999_us,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,predicted_target_unsafe_accept_count,target_harm_watch_count,harmful_actual_count,harmful_actual_ratio,target_induced_miss_actual,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration,relief_attempt_count,relief_success_count,relief_beneficial_count,relief_useless_count,relief_moved_work_us,relief_beneficial_migration_ratio,relief_useless_migration_ratio,estimator_observation_count,estimator_mean_signed_error_us,estimator_mae_us,estimator_rmse_us,estimator_underestimate_count,estimator_overestimate_count,estimator_exact_count,estimator_cold_start_count,estimator_short_observation_count,estimator_long_observation_count,estimator_short_mae_us,estimator_long_mae_us,control_check_count,control_queue_entry_count,control_candidate_count,control_target_count,control_estimator_update_count,control_poll_operation_count,configured_control_cost_sum_us
rescuesched-v2,rescuesched-trace-v2,9c4a5f311635f4f865b8868366aef9219fb8c8f2581aefb6ffd990e5e5018146,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,125845,11493.5,5000,rescue_w2_cli_main,W2,L0_RandomCore,0.85,11,1,64,5,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,751,1.03e+03,0.6312,5000,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.6312,751.353,1027.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,4049,951,0,0,0,0,0,0,5057,0,0
rescuesched-v2,rescuesched-trace-v2,9c4a5f311635f4f865b8868366aef9219fb8c8f2581aefb6ffd990e5e5018146,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,125845,11099.6,5000,rescue_w2_cli_main,W2,L1_WorkStealingPolling,0.85,11,1,64,5,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,117,149,0.048,5000,5500,0,0,0.67,3350,88765,38629,3350,3350,10077,34257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.1,3350,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.048,116.66,149.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,4049,951,0,0,0,0,0,0,5012,10077,0
rescuesched-v2,rescuesched-trace-v2,9c4a5f311635f4f865b8868366aef9219fb8c8f2581aefb6ffd990e5e5018146,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,125845,11162.9,5000,rescue_w2_cli_main,W2,M0_AltoThreshold,0.85,11,1,64,5,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,191,199,0.0318,5000,5500,0,0,0.4368,2184,31941.4,0,0,0,0,0,10140,2184,0.0018315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.1,2184,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.0318,190.6,199.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,4049,951,0,0,10140,34344,2933,11732,5016,0,0
rescuesched-v2,rescuesched-trace-v2,9c4a5f311635f4f865b8868366aef9219fb8c8f2581aefb6ffd990e5e5018146,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,125845,11161.8,5000,rescue_w2_cli_main,W2,M1_RescueSched,0.85,11,1,64,5,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,190,198,0.0164,5000,5500,0,0,0.4256,2128,30688.8,0,0,0,0,0,0,0,0,10139,52379,9706,9351,9312,2128,104758,9706,38824,0,0,2128,0.5,0.5,1,102.1,2128,0.5,0.5,30688.8,39,29473,0,1964,164,0,2128,107.111,2.51542,2128,0.00281955,113.747,132.355,2872,0.0264624,193.819,199.31,6,2122,0,0,395,0,0,0,0.99718,0.00281955,0.99718,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,4049,951,0,0,10139,104758,9706,38824,5016,0,0
rescuesched-v2,rescuesched-trace-v2,b2a06cae280a05cb0a60f6b7e325cd884026f7377e4129796a554f49a223b670,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,133825,14044.8,5000,rescue_w2_cli_main,W2,L0_RandomCore,0.85,23,1,64,5,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,4.12e+03,4.3e+03,0.7622,5000,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.7622,4119.02,4301.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,3965,1035,0,0,0,0,0,0,5058,0,0
rescuesched-v2,rescuesched-trace-v2,b2a06cae280a05cb0a60f6b7e325cd884026f7377e4129796a554f49a223b670,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,133825,10116.4,5000,rescue_w2_cli_main,W2,L1_WorkStealingPolling,0.85,23,1,64,5,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,686,760,0.4622,5000,5500,0,0,0.4552,2276,66034.6,12869,2276,2276,9104,10296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.1,2276,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.4622,686.256,760.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,3965,1035,0,0,0,0,0,0,5022,9104,0
rescuesched-v2,rescuesched-trace-v2,b2a06cae280a05cb0a60f6b7e325cd884026f7377e4129796a554f49a223b670,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,133825,10130.8,5000,rescue_w2_cli_main,W2,M0_AltoThreshold,0.85,23,1,64,5,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,495,524,0.5126,5000,5500,0,0,0.6706,3353,74346.3,0,0,0,0,0,9118,3353,0.00387712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.1,3353,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.5126,494.918,524.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,3965,1035,0,0,9118,552672,88723,354892,5021,0,0
rescuesched-v2,rescuesched-trace-v2,b2a06cae280a05cb0a60f6b7e325cd884026f7377e4129796a554f49a223b670,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,133825,13325.1,5000,rescue_w2_cli_main,W2,M1_RescueSched,0.85,23,1,64,5,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,3.33e+03,3.49e+03,0.361,5000,5500,0,0,0.3054,1527,30981.7,0,0,0,0,0,0,0,0,12313,605712,567048,10966,6333,1527,2285124,567048,2268192,0,0,1527,0.5,0.5,1,102.1,1527,0.5,0.5,30981.7,4633,2257226,0,1315,212,241,1286,118.649,5.96545,1527,0.00196464,184.682,194.449,3473,0.51886,3390.68,3514.91,3,1524,0,0,515,0,0,0,0.998035,0.00196464,0.998035,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,3965,1035,0,0,12313,2285124,567048,2268192,5021,0,0
rescuesched-v2,rescuesched-trace-v2,cb737e10a066d475342b0c29e2991eee93c96615a2b5ac82b12ad1b8f9cf0352,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,128790,13943.5,5000,rescue_w2_cli_main,W2,L0_RandomCore,0.85,37,1,64,5,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,4.9e+03,5.19e+03,0.7832,5000,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.7832,4895.21,5194.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,4018,982,0,0,0,0,0,0,5047,0,0
rescuesched-v2,rescuesched-trace-v2,cb737e10a066d475342b0c29e2991eee93c96615a2b5ac82b12ad1b8f9cf0352,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,128790,9879.6,5000,rescue_w2_cli_main,W2,L1_WorkStealingPolling,0.85,37,1,64,5,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,954,1.06e+03,0.4776,5000,5500,0,0,0.4352,2176,60954.6,14531,2176,2176,8872,12001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.1,2176,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.4776,954.48,1058.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,4018,982,0,0,0,0,0,0,5021,8872,0
rescuesched-v2,rescuesched-trace-v2,cb737e10a066d475342b0c29e2991eee93c96615a2b5ac82b12ad1b8f9cf0352,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,128790,9959.7,5000,rescue_w2_cli_main,W2,M0_AltoThreshold,0.85,37,1,64,5,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,534,564,0.5242,5000,5500,0,0,0.6968,3484,72711.4,0,0,0,0,0,8952,3484,0.00373134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.1,3484,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.5242,533.528,563.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,4018,982,0,0,8952,601467,88250,353000,5023,0,0
rescuesched-v2,rescuesched-trace-v2,cb737e10a066d475342b0c29e2991eee93c96615a2b5ac82b12ad1b8f9cf0352,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,128790,12026.2,5000,rescue_w2_cli_main,W2,M1_RescueSched,0.85,37,1,64,5,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,3.03e+03,3.23e+03,0.353,5000,5500,0,0,0.3348,1674,34115.4,0,0,0,0,0,0,0,0,11019,555729,513420,11582,7106,1674,2050106,513420,2053680,0,0,1674,0.5,0.5,1,102.1,1674,0.5,0.5,34115.4,4476,2042098,0,1440,234,545,1129,126.08,8.18,1674,0.00477897,185.794,193.963,3326,0.528262,3122.07,3316.85,8,1666,0,0,946,0,0,0,0.995221,0.00477897,0.995221,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,4018,982,0,0,11019,2050106,513420,2053680,5023,0,0
rescuesched-v2,rescuesched-trace-v2,0014e8604d78e0eda88a137159fbe4457d635f5496ddc5972e8a25ee2b161f59,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,130310,11681.9,5000,rescue_w2_cli_main,W2,L0_RandomCore,0.85,47,1,64,5,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,649,843,0.6464,5000,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.6464,649.225,842.839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,4002,998,0,0,0,0,0,0,5089,0,0
