schema_version,trace_version,trace_sha256,rpc_method_model,deadline_model,offered_load_definition,warmup_requests,measurement_requests,measured_generated_work_us,experiment_duration_us,latency_sample_count,scenario,workload,method,rho,seed,check_period_us,scan_depth,epsilon_us,budget_per_check,k_candidates,h_targets,migration_cost_us,service_estimate_mode,service_estimate_noise_cv,service_estimate_ewma_alpha,w2_hot_core_count,w2_hot_dispatch_prob,placement_mode,flow_count,flow_zipf_alpha,flow_hash_seed,target_insert_policy,hybrid_pressure_ratio,hybrid_min_gain_us,work_steal_poll_us,work_steal_max_per_poll,alto_queue_threshold_us,alto_min_gain_us,control_cost_mode,control_check_cost_us,control_queue_entry_cost_us,control_candidate_cost_us,control_target_cost_us,control_estimator_update_cost_us,control_poll_cost_us,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,steal_poll_count,steal_idle_core_check_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,rescue_queue_entries_inspected_count,rescue_accepted_candidate_count,rescue_target_evaluation_count,rescue_source_revalidation_reject_count,rescue_remote_revalidation_reject_count,migration_handoff_count,avg_migration_handoff_us,max_migration_handoff_us,max_rescue_commits_per_check,max_target_reservation_work_us,descriptor_handoff_count,avg_descriptor_handoff_us,max_descriptor_handoff_us,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,rescue_short_move_count,rescue_long_move_count,rescue_burst_move_count,rescue_nonburst_move_count,avg_rescue_source_work_at_commit_us,avg_rescue_destination_work_at_commit_us,rescue_migrated_finished,rescue_migrated_slo_violation_rate,rescue_migrated_P99_us,rescue_migrated_P999_us,rescue_nonmigrated_finished,rescue_nonmigrated_slo_violation_rate,rescue_nonmigrated_P99_us,rescue_nonmigrated_P999_us,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,predicted_target_unsafe_accept_count,target_harm_watch_count,harmful_actual_count,harmful_actual_ratio,target_induced_miss_actual,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration,relief_attempt_count,relief_success_count,relief_beneficial_count,relief_useless_count,relief_moved_work_us,relief_beneficial_migration_ratio,relief_useless_migration_ratio,estimator_observation_count,estimator_mean_signed_error_us,estimator_mae_us,estimator_rmse_us,estimator_underestimate_count,estimator_overestimate_count,estimator_exact_count,estimator_cold_start_count,estimator_short_observation_count,estimator_long_observation_count,estimator_short_mae_us,estimator_long_mae_us,control_check_count,control_queue_entry_count,control_candidate_count,control_target_count,control_estimator_update_count,control_poll_operation_count,configured_control_cost_sum_us
rescuesched-v2,rescuesched-trace-v2,9c4a5f311635f4f865b8868366aef9219fb8c8f2581aefb6ffd990e5e5018146,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,125845,11493.5,5000,rescue_w2_cli_main,W2,L0_RandomCore,0.85,11,1,64,2,2,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,751,1.03e+03,0.6312,5000,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.6312,751.353,1027.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,4049,951,0,0,0,0,0,0,5057,0,0
rescuesched-v2,rescuesched-trace-v2,9c4a5f311635f4f865b8868366aef9219fb8c8f2581aefb6ffd990e5e5018146,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,125845,11099.6,5000,rescue_w2_cli_main,W2,L1_WorkStealingPolling,0.85,11,1,64,2,2,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,117,149,0.048,5000,5500,0,0,0.67,3350,88765,38629,3350,3350,10077,34257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.1,3350,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.048,116.66,149.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,4049,951,0,0,0,0,0,0,5012,10077,0
rescuesched-v2,rescuesched-trace-v2,9c4a5f311635f4f865b8868366aef9219fb8c8f2581aefb6ffd990e5e5018146,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,125845,11161.8,5000,rescue_w2_cli_main,W2,M0_AltoThreshold,0.85,11,1,64,2,2,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,190,198,0.0236,5000,5500,0,0,0.4316,2158,30711.8,0,0,0,0,0,12057,2158,0.00231696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.1,2158,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.0236,190.343,198.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,4049,951,0,0,12057,40911,2560,10240,5016,0,0
rescuesched-v2,rescuesched-trace-v2,9c4a5f311635f4f865b8868366aef9219fb8c8f2581aefb6ffd990e5e5018146,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,125845,11162.9,5000,rescue_w2_cli_main,W2,M1_RescueSched,0.85,11,1,64,2,2,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,190,198,0.0166,5000,5500,0,0,0.4226,2113,31912.3,0,0,0,0,0,0,0,0,10140,53244,9752,8709,8333,2113,106488,9752,39008,0,42,2113,0.5,0.5,2,102.1,2113,0.5,0.5,31912.3,376,30341,0,1935,178,0,2113,108.803,3.01068,2113,0.00283956,116.556,176.777,2887,0.0266713,194.422,199.526,6,2107,0,0,363,0,0,0,0.99716,0.00283956,0.99716,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,4049,951,0,0,10140,106488,9752,39008,5015,0,0
rescuesched-v2,rescuesched-trace-v2,b2a06cae280a05cb0a60f6b7e325cd884026f7377e4129796a554f49a223b670,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,133825,14044.8,5000,rescue_w2_cli_main,W2,L0_RandomCore,0.85,23,1,64,2,2,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,4.12e+03,4.3e+03,0.7622,5000,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.7622,4119.02,4301.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,3965,1035,0,0,0,0,0,0,5058,0,0
rescuesched-v2,rescuesched-trace-v2,b2a06cae280a05cb0a60f6b7e325cd884026f7377e4129796a554f49a223b670,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,133825,10116.4,5000,rescue_w2_cli_main,W2,L1_WorkStealingPolling,0.85,23,1,64,2,2,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,686,760,0.4622,5000,5500,0,0,0.4552,2276,66034.6,12869,2276,2276,9104,10296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.1,2276,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.4622,686.256,760.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,3965,1035,0,0,0,0,0,0,5022,9104,0
rescuesched-v2,rescuesched-trace-v2,b2a06cae280a05cb0a60f6b7e325cd884026f7377e4129796a554f49a223b670,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,133825,10128.9,5000,rescue_w2_cli_main,W2,M0_AltoThreshold,0.85,23,1,64,2,2,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,488,524,0.5028,5000,5500,0,0,0.685,3425,75902.5,0,0,0,0,0,11968,3425,0.00554745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.2,3425,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.5028,488.107,523.858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,3965,1035,0,0,11968,776226,98538,394152,5021,0,0
rescuesched-v2,rescuesched-trace-v2,b2a06cae280a05cb0a60f6b7e325cd884026f7377e4129796a554f49a223b670,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,133825,13325.1,5000,rescue_w2_cli_main,W2,M1_RescueSched,0.85,23,1,64,2,2,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,3.03e+03,3.49e+03,0.3526,5000,5500,0,0,0.312,1560,31501,0,0,0,0,0,0,0,0,12313,604340,564108,11649,5816,1560,2327960,564108,2256432,0,319,1560,0.5,0.5,2,109.2,1560,0.5,0.5,31501,5833,2245102,0,1345,215,265,1295,121.413,6.78869,1560,0.00448718,183.32,196.595,3440,0.510465,3333.43,3514.91,7,1553,0,0,574,0,0,0,0.995513,0.00448718,0.995513,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,3965,1035,0,0,12313,2327960,564108,2256432,5021,0,0
rescuesched-v2,rescuesched-trace-v2,cb737e10a066d475342b0c29e2991eee93c96615a2b5ac82b12ad1b8f9cf0352,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,128790,13943.5,5000,rescue_w2_cli_main,W2,L0_RandomCore,0.85,37,1,64,2,2,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,4.9e+03,5.19e+03,0.7832,5000,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.7832,4895.21,5194.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,4018,982,0,0,0,0,0,0,5047,0,0
rescuesched-v2,rescuesched-trace-v2,cb737e10a066d475342b0c29e2991eee93c96615a2b5ac82b12ad1b8f9cf0352,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,128790,9879.6,5000,rescue_w2_cli_main,W2,L1_WorkStealingPolling,0.85,37,1,64,2,2,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,954,1.06e+03,0.4776,5000,5500,0,0,0.4352,2176,60954.6,14531,2176,2176,8872,12001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.1,2176,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0.4776,954.48,1058.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,5000,0,4018,982,0,0,0,0,0,0,5021,8872,0
