schema_version,trace_version,trace_sha256,rpc_method_model,deadline_model,offered_load_definition,warmup_requests,measurement_requests,measured_generated_work_us,experiment_duration_us,latency_sample_count,scenario,workload,method,rho,seed,check_period_us,scan_depth,epsilon_us,budget_per_check,k_candidates,h_targets,migration_cost_us,service_estimate_mode,service_estimate_noise_cv,service_estimate_ewma_alpha,w2_hot_core_count,w2_hot_dispatch_prob,placement_mode,flow_count,flow_zipf_alpha,flow_hash_seed,target_insert_policy,hybrid_pressure_ratio,hybrid_min_gain_us,work_steal_poll_us,work_steal_max_per_poll,alto_queue_threshold_us,alto_min_gain_us,control_cost_mode,control_check_cost_us,control_queue_entry_cost_us,control_candidate_cost_us,control_target_cost_us,control_estimator_update_cost_us,control_poll_cost_us,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,steal_poll_count,steal_idle_core_check_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,rescue_queue_entries_inspected_count,rescue_accepted_candidate_count,rescue_target_evaluation_count,rescue_source_revalidation_reject_count,rescue_remote_revalidation_reject_count,migration_handoff_count,avg_migration_handoff_us,max_migration_handoff_us,max_rescue_commits_per_check,max_target_reservation_work_us,descriptor_handoff_count,avg_descriptor_handoff_us,max_descriptor_handoff_us,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,rescue_short_move_count,rescue_long_move_count,rescue_burst_move_count,rescue_nonburst_move_count,avg_rescue_source_work_at_commit_us,avg_rescue_destination_work_at_commit_us,rescue_migrated_finished,rescue_migrated_slo_violation_rate,rescue_migrated_P99_us,rescue_migrated_P999_us,rescue_nonmigrated_finished,rescue_nonmigrated_slo_violation_rate,rescue_nonmigrated_P99_us,rescue_nonmigrated_P999_us,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,predicted_target_unsafe_accept_count,target_harm_watch_count,harmful_actual_count,harmful_actual_ratio,target_induced_miss_actual,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration,relief_attempt_count,relief_success_count,relief_beneficial_count,relief_useless_count,relief_moved_work_us,relief_beneficial_migration_ratio,relief_useless_migration_ratio,estimator_observation_count,estimator_mean_signed_error_us,estimator_mae_us,estimator_rmse_us,estimator_underestimate_count,estimator_overestimate_count,estimator_exact_count,estimator_cold_start_count,estimator_short_observation_count,estimator_long_observation_count,estimator_short_mae_us,estimator_long_mae_us,control_check_count,control_queue_entry_count,control_candidate_count,control_target_count,control_estimator_update_count,control_poll_operation_count,configured_control_cost_sum_us
rescuesched-v2,rescuesched-trace-v2,b87840cb4b7f53d10429cc6b3c99787dff9dee306f3e6e9541f978637e5a9e80,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,737.002,200,rescue_w3_heavytail_main,W3,L0_RandomCore,0.7,11,2,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,313,324,0.26,200,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.26,312.871,323.669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-1.71002,13.8404,28.861,86,114,0,0,120,80,4.41267,27.9821,0,0,0,0,207,0,0
rescuesched-v2,rescuesched-trace-v2,b87840cb4b7f53d10429cc6b3c99787dff9dee306f3e6e9541f978637e5a9e80,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,667.481,200,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.7,11,2,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,181,286,0.005,200,220,0,0,0.67,134,3279.02,4357,134,134,615,4156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.2771,134,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.005,180.55,285.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-1.43424,13.8823,28.7937,86,114,0,0,120,80,4.35215,28.1776,0,0,0,0,203,615,0
rescuesched-v2,rescuesched-trace-v2,b87840cb4b7f53d10429cc6b3c99787dff9dee306f3e6e9541f978637e5a9e80,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,714.04,200,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.7,11,2,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,215,288,0.02,200,220,0,0,0.24,48,726.629,0,0,0,0,0,331,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.646,48,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.02,215.318,287.636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-1.93962,13.6307,28.7735,85,115,0,0,120,80,4.36538,27.5286,331,1095,52,208,207,0,0
rescuesched-v2,rescuesched-trace-v2,b87840cb4b7f53d10429cc6b3c99787dff9dee306f3e6e9541f978637e5a9e80,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,714.04,200,rescue_w3_heavytail_main,W3,M1_RescueSched,0.7,11,2,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,215,288,0.02,200,220,0,0,0.24,48,726.629,0,0,0,0,0,0,0,0,331,1312,52,208,208,48,2624,52,208,0,0,48,0.5,0.5,1,50.646,48,0.5,0.5,726.629,0,0,0,43,5,0,48,104.653,0,48,0.0208333,126.933,126.933,152,0.0197368,285.688,287.636,1,47,0,0,0,0,0,0,0.979167,0.0208333,0.979167,0,0,0,0,0,0,0,200,-1.93962,13.6307,28.7735,85,115,0,0,120,80,4.36538,27.5286,331,2624,52,208,207,0,0
rescuesched-v2,rescuesched-trace-v2,73abdf17b4a70f9ceb48ad4ccba8806fc86dd41c8f630125d1533fda7f2dcdca,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,652.364,200,rescue_w3_heavytail_main,W3,L0_RandomCore,0.85,11,2,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,327,342,0.315,200,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.315,327.025,342.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-1.82856,13.7859,28.7046,86,114,0,0,120,80,4.42891,27.8214,0,0,0,0,209,0,0
rescuesched-v2,rescuesched-trace-v2,73abdf17b4a70f9ceb48ad4ccba8806fc86dd41c8f630125d1533fda7f2dcdca,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,582.842,200,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.85,11,2,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,181,286,0.005,200,220,0,0,0.745,149,3961.13,3125,149,149,540,2928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.372,149,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.005,180.82,285.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-1.80097,13.7783,28.7364,88,112,0,0,120,80,4.36728,27.8949,0,0,0,0,207,540,0
rescuesched-v2,rescuesched-trace-v2,73abdf17b4a70f9ceb48ad4ccba8806fc86dd41c8f630125d1533fda7f2dcdca,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,609.739,200,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.85,11,2,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,250,297,0.025,200,220,0,0,0.28,56,863.306,0,0,0,0,0,283,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4352,56,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.025,250.057,297.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-1.95181,13.695,28.6855,85,115,0,0,120,80,4.39626,27.6431,283,1418,62,248,209,0,0
rescuesched-v2,rescuesched-trace-v2,73abdf17b4a70f9ceb48ad4ccba8806fc86dd41c8f630125d1533fda7f2dcdca,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,609.739,200,rescue_w3_heavytail_main,W3,M1_RescueSched,0.85,11,2,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,250,297,0.025,200,220,0,0,0.28,56,863.306,0,0,0,0,0,0,0,0,283,1603,62,248,248,56,3206,62,248,0,0,56,0.5,0.5,1,56.4352,56,0.5,0.5,863.306,0,0,0,50,6,0,56,108.968,0.155485,56,0,132.61,132.61,144,0.0347222,285.688,297.209,0,56,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,200,-1.95181,13.695,28.6855,85,115,0,0,120,80,4.39626,27.6431,283,3206,62,248,209,0,0
rescuesched-v2,rescuesched-trace-v2,b626565dc0d8693390a5f809adbf36f59416246d89fd9a1143274e4dcda877f6,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,633.04,200,rescue_w3_heavytail_main,W3,L0_RandomCore,0.9,11,2,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,331,347,0.35,200,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.35,331.26,347.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-1.88859,13.7521,28.6499,87,113,0,0,120,80,4.40481,27.7731,0,0,0,0,209,0,0
rescuesched-v2,rescuesched-trace-v2,b626565dc0d8693390a5f809adbf36f59416246d89fd9a1143274e4dcda877f6,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,562.363,200,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.9,11,2,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,181,286,0.005,200,220,0,0,0.76,152,3866.17,2811,152,152,522,2622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.3362,152,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.005,180.779,285.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-1.95221,13.474,28.4811,90,110,0,0,120,80,4.36495,27.1376,0,0,0,0,208,522,0
rescuesched-v2,rescuesched-trace-v2,b626565dc0d8693390a5f809adbf36f59416246d89fd9a1143274e4dcda877f6,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,607.459,200,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.9,11,2,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,259,300,0.03,200,220,0,0,0.295,59,859.082,0,0,0,0,0,283,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0964,59,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.03,259.064,300.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-1.97073,13.6522,28.599,86,114,0,0,120,80,4.40219,27.5271,283,1653,75,300,209,0,0
rescuesched-v2,rescuesched-trace-v2,b626565dc0d8693390a5f809adbf36f59416246d89fd9a1143274e4dcda877f6,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,565.716,200,rescue_w3_heavytail_main,W3,M1_RescueSched,0.9,11,2,64,2,1,16,4,0.5,ewma,0,0.05,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,259,300,0.03,200,220,0,0,0.305,61,927.651,0,0,0,0,0,0,0,0,262,1799,78,308,308,61,3598,78,312,0,0,61,0.5,0.5,1,61.0962,61,0.5,0.5,927.651,0,4,0,55,6,0,61,107.336,0.553655,61,0,129.843,129.843,139,0.0431655,285.688,300.256,0,61,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,200,-1.97564,13.6365,28.595,86,114,0,0,120,80,4.39004,27.5062,262,3598,78,312,209,0,0
