profile,dimension,value,workload,rho,method,seeds,slo_violation_median,slo_goodput_per_us_median,P99_us_median,P999_us_median,migrated_work_rate_median,handoffs_per_request_median,rescue_moves_per_request_median,estimator_mae_us_median,estimator_rmse_us_median,control_operations_per_request_median,configured_control_cost_per_request_us_median,rescue_migrated_fraction_median,rescue_migrated_miss_rate_median,rescue_nonmigrated_miss_rate_median
budget-2,budget-per-check,2,W3,0.9,M0_AltoThreshold,1,0.035,0.3177169158741578,259.0,300.0,0.15400125628140704,0.295,0.0,13.6073,28.5732,23.83,0.0,0.0,0.0,0.035
budget-2,budget-per-check,2,W3,0.9,M1_RescueSched,1,0.035,0.3271729880556431,259.0,300.0,0.16431981335247667,0.3,0.3,13.6184,28.5808,41.18,0.0,0.3,0.0,0.05
budget-4,budget-per-check,4,W2,0.85,L0_RandomCore,1,0.445,0.13970857546339824,274.0,356.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.445
budget-4,budget-per-check,4,W2,0.85,L1_WorkStealingPolling,1,0.02,0.341106856943961,104.0,111.0,0.7334409515717927,0.765,0.0,0.0,0.0,3.68,0.0,0.0,0.0,0.02
budget-4,budget-per-check,4,W2,0.85,M0_AltoThreshold,1,0.005,0.31254908119993713,196.0,205.0,0.23169073916737468,0.425,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.005
budget-4,budget-per-check,4,W2,0.85,M1_RescueSched,1,0.005,0.3180437909541313,196.0,205.0,0.23048428207306715,0.42,0.42,0.0,0.0,23.16,0.0,0.42,0.0119048,0.0
budget-4,budget-per-check,4,W3,0.7,L0_RandomCore,1,0.26,0.2008135663132529,313.0,324.0,0.0,0.0,0.0,13.8404,28.861,1.035,0.0,0.0,0.0,0.26
budget-4,budget-per-check,4,W3,0.7,L1_WorkStealingPolling,1,0.005,0.298135827087213,181.0,286.0,0.5884816941852118,0.67,0.0,13.8823,28.7937,4.09,0.0,0.0,0.0,0.005
budget-4,budget-per-check,4,W3,0.7,M0_AltoThreshold,1,0.025,0.273093944316845,215.0,288.0,0.1302708183776023,0.24,0.0,13.6415,28.7849,17.29,0.0,0.0,0.0,0.025
budget-4,budget-per-check,4,W3,0.7,M1_RescueSched,1,0.025,0.273093944316845,215.0,288.0,0.1302708183776023,0.24,0.24,13.6415,28.7849,30.96,0.0,0.24,0.0208333,0.0263158
budget-4,budget-per-check,4,W3,0.85,L0_RandomCore,1,0.315,0.21000545707611087,327.0,342.0,0.0,0.0,0.0,13.7859,28.7046,1.045,0.0,0.0,0.0,0.315
budget-4,budget-per-check,4,W3,0.85,L1_WorkStealingPolling,1,0.005,0.3414304391241537,181.0,286.0,0.7108991385498923,0.745,0.0,13.7783,28.7364,3.735,0.0,0.0,0.0,0.005
budget-4,budget-per-check,4,W3,0.85,M0_AltoThreshold,1,0.025,0.32723501515349834,250.0,297.0,0.158612167982771,0.29,0.0,13.6906,28.6857,21.56,0.0,0.0,0.0,0.025
budget-4,budget-per-check,4,W3,0.85,M1_RescueSched,1,0.025,0.32723501515349834,250.0,297.0,0.15848636037329505,0.29,0.29,13.6998,28.6978,37.4,0.0,0.29,0.0,0.0352113
budget-4,budget-per-check,4,W3,0.9,L0_RandomCore,1,0.35,0.2053582711992923,331.0,347.0,0.0,0.0,0.0,13.7521,28.6499,1.045,0.0,0.0,0.0,0.35
budget-4,budget-per-check,4,W3,0.9,L1_WorkStealingPolling,1,0.005,0.3538639633119533,181.0,286.0,0.693856783919598,0.76,0.0,13.474,28.4811,3.65,0.0,0.0,0.0,0.005
budget-4,budget-per-check,4,W3,0.9,M0_AltoThreshold,1,0.035,0.3177169158741578,259.0,300.0,0.15400125628140704,0.295,0.0,13.6073,28.5732,23.995,0.0,0.0,0.0,0.035
budget-4,budget-per-check,4,W3,0.9,M1_RescueSched,1,0.035,0.3271729880556431,259.0,300.0,0.16431981335247667,0.3,0.3,13.6184,28.5808,41.18,0.0,0.3,0.0,0.05
candidates-32,k-candidates,32,W2,0.85,L0_RandomCore,1,0.445,0.13970857546339824,274.0,356.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.445
candidates-32,k-candidates,32,W2,0.85,L1_WorkStealingPolling,1,0.02,0.341106856943961,104.0,111.0,0.7334409515717927,0.765,0.0,0.0,0.0,3.68,0.0,0.0,0.0,0.02
candidates-32,k-candidates,32,W2,0.85,M0_AltoThreshold,1,0.005,0.31254908119993713,196.0,205.0,0.23169073916737468,0.425,0.0,0.0,0.0,13.29,0.0,0.0,0.0,0.005
